Item,MfrNum,Description,StockoutDate,ReleaseDate,GapDays,ReasonCode,StockStatus,Source
101135,8687H,SUTURE PROLENE 3/0 18IN BLUE PS-2 P-12,7/6/21,,,,,Valuelink
106841,8881850558,SAFETY NEEDLE 25 X 5 8,7/9/21,10/30/21,120,Self Manuf Replenishment Issue,MBO ETR,Valuelink
116187,M76415A,SPLINT SCOTCHCAST ONE-STEP 4 X 15 IN,6/28/21,,,National Discontinuation,Work with Customer to find alternate material,Cardinal Dstat
116613,6DCT,TUBE TRACH SIZE 6 WITH CUFF 6DCT,8/24/21,,,,,Cardinal Base
117991,DYND20125,SYRINGE BULB IRRIGATION FFS PKG STERILE,7/6/21,8/16/21,48,Manufacturer Backorder,MBO ETR,Cardinal Base
122375,M0064051000,CATH URET DUAL LUMEN 10F EA1,7/6/21 10:53,Estimated Delivery: 07-15-2021,,,Backordered,GHX-B/O
122773,BF30962812,SYRINGE 1ML LUER LOK,7/10/21,7/15/21,12,Manufacturer Backorder,MBO ETR,Cardinal Base
123558,DC7074,EVACUATOR LICONE 100 CC STERILE,8/7/21,7/12/21,-26,,ETA,Cardinal Base
125889,BF309695,SYRINGE CONTROL 10CC LUER-LOK,8/1/21,7/15/21,-10,Manufacturer Backorder,RBO ETR,Cardinal Base
126029,BF309654,SYRINGE 50ML LUER SLIP TIP,7/6/21,7/15/21,16,Manufacturer Backorder,MBO ETR,Valuelink
129957,MM8610,REMOVER LOTION 1/2 OZ UNIT PACKET,7/6/21,,,,,Valuelink
131396,M1629,DRESSING TEGADERM TRANSP 20X30,7/6/21,7/19/21,20,Manufacturer Backorder,MBO ETR,Valuelink
134085,8702H,SUTURE PROLENE 7/0 24IN BLUE BV-1 CV-1,7/6/21,No Release Date,,,ETA,Valuelink
136111,698H,SUTURE ETHILON 5/0 18IN BLACK P-3 P-13,7/6/21,No Release Date,,,ETR,Valuelink
145011,CX21D,SUTURE ETHIBOND 0 18IN GREEN CT-1 GS21,8/5/21,7/14/21,-15,Manufacturer Backorder,MBO ETR,Cardinal Base
145383,STS-400,PROBE SKIN TEMPERATURE,7/6/21,8/2/21,34,Manufacturer Backorder,MBO ETR,Cardinal Base
149269,173023,LOADING UNIT ENDO STITCH 2/0 48IN SURGID,7/6/21,7/6/21,7,Manufacturer Backorder,RBO ETR,Cardinal Base
151353,7507A,PAD REM GROUNDING,7/23/21,7/7/21,-16,,ETA,Cardinal Base
152993,MSR-3,REMOVER STAPLE SKIN PRECISE DISP,7/6/21,7/12/21,13,Manufacturer Backorder,MBO ETR,Valuelink
158240,M76530,SPLINT ONE-STEP 5X30 SCOTCH,6/28/21,,,National Discontinuation,Work with Customer to find alternate material,Cardinal Dstat
164211,M1528-3,TAPE SURG MICROFOAM 3INX5-1/2Y,7/6/21,7/12/21,13,Manufacturer Backorder,MBO ETR,Valuelink
164872,TCR75,CARTRIDGE RELOADING UNIT 75MM,7/6/21,No Release Date,,Manufacturer Backorder,MBO ETR,Valuelink
175050,65651-212,CANISTER 1200CC GUARDIAN,7/6/21,7/6/21,0,Self Manuf Replenishment Issue,RBO ETA,Valuelink
183219,M0064002021,CATH URET FLEXIMA 6FRX70CM EA1/BX20,7/5/21 14:28,Estimated Delivery: 07-14-2021,,,Backordered,GHX-B/O
188830,70331-010A,STERILE AQUASONIC 100 20GM,8/1/21,No Release Date,,Manufacturer Backorder,MBO ETR,Valuelink
196006,GP47410,FACIAL FLAT ENVISION 100/30,7/31/21,No Release Date,,Manufacturer Backorder,MBO ETR,Valuelink
197593,BF309620,SYRINGE CATHETER TIP 50ML,8/16/21,,,,,Cardinal Base
203316,0165L18,CATHETER FOLEY 18FR 2-WAY 5CC BARDEX,8/24/21,7/12/21,-43,,ETA,Cardinal Base
207007,31145884,181 SURGI-MARK W/9 LABELS,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Valuelink
