Item,MfrNum,Description,StockoutDate,ReleaseDate,GapDays,ReasonCode,StockStatus,Source
122375,M0064051000,CATH URET DUAL LUMEN 10F EA1,7/6/21 10:53,Estimated Delivery: 07-15-2021,,,Backordered,GHX-B/O
134085,8702H,SUTURE PROLENE 7/0 24IN BLUE BV-1 CV-1,7/6/21,No Release Date,,,ETA,Valuelink
145011,CX21D,SUTURE ETHIBOND 0 18IN GREEN CT-1 GS21,8/5/21,7/14/21,-15,Manufacturer Backorder,MBO ETR,Cardinal Base
149218,DYNJSM01,"MARKER,670,3/2/21,0.42,,,Medline
153330,G09502,CATH MULTIPURPOSE 10.2FRX25 EA1,7/5/21 16:53,Current Schedule Ship: 08-18-2021,,,Backordered,GHX-B/O
163053,J417HA,SUTURE VICRYL 2/0 27IN UNDYED SH V-20,7/9/21,,,,,Valuelink
216675,B072229,DRAIN 15FR HUBLESS FULL FLUTED W TROCAR,8/31/21,7/12/21,-50,,ETA,Cardinal Base
225371,333875,NEEDLE SPINAL 5IN PENCAN PENCIL POINT,7/6/21,7/15/21,16,Manufacturer Backorder,MBO ETR,Valuelink
304548,W2200W,CLIP LIGATING 2200 MEDIUM,7/12/21,7/7/21,-5,,ETA,Valuelink
340638,2D73EB70,SRG GLOVE PROTEXIS PI BLUE W-NT 7.0,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Valuelink
340639,2D73EB75,SRG GLOVE PROTEXIS PI BLUE W-NT 7.5,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
340640,2D73EB80,SRG GLOVE PROTEXIS PI BLUE W-NT 8.0,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
340641,2D73EB85,SRG GLOVE PROTEXIS PI BLUE W-NT 8.5,7/24/21,8/16/21,30,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
349762,BF309646A,SYRINGE 5CC LUER-LOK TIP STERILE,7/15/21,,,,,Cardinal Base
351785,MDS202095,APPLICATOR COTTON-TIP PLASTIC 6IN STER,7/6/21,8/23/21,55,Manufacturer Backorder,MBO ETR,Valuelink
382715,DYND30389,CONTAINER SPECIMEN 4OZ OR STERILE,8/15/21,7/6/21,-40,Manufacturer Backorder,RBO ETA,Medline
402853,2D72PT55X,GLOVE SURGICAL PROTEXIS PI,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
405516,2D72PL60X,GLOVE SURGICAL PROTEXIS PI CLASSIC,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Valuelink
405517,2D72PT65X,GLOVE SURGICAL PROTEXIS PI,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
405518,2D72PT70X,GLOVE SURGICAL PROTEXIS PI,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
405519,2D72PT75X,GLOVE SURGICAL PROTEXIS PI,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
405520,2D72PT80X,GLOVE SURGICAL PROTEXIS PI,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
405521,2D72PT85X,GLOVE SURGICAL PROTEXIS PI,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
416485,BF302830,20ML LUER-LOK SYRINGE ONLY,7/17/21,,,,,Cardinal Base
416487,BF302832,30ML LUER-LOK SYRINGE ONLY,7/6/21,No Release Date,,Manufacturer Backorder,MBO ETR,Cardinal Base
487768,A899916,16 FR BARDEX LUBRICATH FOLEY TRAY AND DR,7/15/21,No Release Date,,Manufacturer Backorder,MBO ETR,Valuelink
491742,A902916,16 FRENCH LUBRICATH URINE METER FOLEY TR,7/6/21,No Release Date,,Manufacturer Backorder,RBO ETR,Valuelink
508873,H7493926715400,CATH BLLN NC EMERGE MR4X15 EA1,7/2/21 16:53,Estimated Delivery: 07-13-2021,,,Backordered,GHX-B/O
508882,H7493926720300,CATH BLLN NC EMERGE MR 3X20 EA1,6/25/21 16:53,Estimated Delivery: 07-05-2021,,,Backordered,GHX-B/O
520842,HPC19144,"PREP MITT,133.6,,07/12/2021,,,Medline
567040,9128-10CSH,EXAM GLOVE NITRILE CHEMO BLUE SM,7/6/21,No Release Date,,Manufacturer Backorder,RBO ETR,Cardinal Base
571717,302995,SYRINGE 10ML LL STERILE,7/19/21,7/9/21,-10,,ETA,Cardinal Base
589359,2D73HT80,PI ORTHOPAEDIC SURGICAL GLOVES SIZE 8,8/30/21,8/16/21,-7,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
589379,2D73HT85,PI ORTHOPAEDIC SURGICAL GLOVES SIZE 8.5,8/19/21,8/16/21,4,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
590018,LSL8440,EMESIS BAG,7/6/21,No Release Date,,Manufacturer Backorder,MBO ETR,Valuelink
597007,H74939401103500,CATH CUTTING BALLOON 10X3.50M EA1,6/25/21 16:53,Estimated Delivery: 07-06-2021,,,Backordered,GHX-B/O
625765,930825,26ML CHLORAPREP SCRUB TEAL TINTED APPL,7/12/21,,,,,Valuelink
628816,930725,10.5ML CHLORAPREP SCRUB TEAL TINTED AP,7/6/21,No Release Date,,,ETR,Valuelink
